;;x;y;fx;fy;;;;;
;;-129;128;0;-147;;;;;
;;-129;126;0;-147;;;;;
;;-129;124;0;-147;;;;;
;;-129;120;0;-147;;;;;
;;-129;118;0;-147;;;;;
;;-129;117;0;-54;;;;;
;;-129;117;0;-54;;;;;
;;-129;117;0;-54;;;;;
;;-129;117;0;-54;;;;;
;;-129;116;0;-158;;;;;
;;-129;116;0;-158;;;;;
;;-129;112;0;-158;;;;;
;;-129;110;0;-158;;;;;
;;-129;108;0;-158;;;;;
;;-129;103;0;-373;;;;;
;;-129;99;0;-373;;;;;
;;-129;96;0;-373;;;;;
;;-129;92;0;-373;;;;;
;;-129;85;0;-373;;;;;
;;-129;81;0;-433;;;;;
;;-129;78;0;-433;;;;;
;;-129;70;0;-433;;;;;
;;-129;67;0;-433;;;;;
;;-129;63;0;-433;;;;;
;;-129;59;0;-433;;;;;
;;-129;52;31;-428;;;;;
;;-129;49;31;-428;;;;;
;;-129;45;31;-428;;;;;
;;-129;41;31;-428;;;;;
;;-129;38;31;-428;;;;;
;;-129;34;31;-411;;;;;
;;-129;27;29;-411;;;;;
;;-129;23;29;-411;;;;;
;;-129;19;29;-411;;;;;
;;-129;12;29;-364;;;;;
;;-129;8;38;-364;;;;;
;;-129;5;38;-364;;;;;
;;-129;1;38;-364;;;;;
;;-129;-5;38;-364;;;;;
;;-129;-9;38;-312;;;;;
;;-129;-13;75;-312;;;;;
;;-129;-16;75;-312;;;;;
;;-129;-23;75;-312;;;;;
;;-129;-27;75;-312;;;;;
;;-129;-31;75;-273;;;;;
;;-129;-36;78;-273;;;;;
;;-129;-46;78;-273;;;;;
;;-129;-50;78;-273;;;;;
;;-129;-55;78;-273;;;;;
;;-129;-59;78;-237;;;;;
;;-129;-63;73;-237;;;;;
;;-129;-70;73;-237;;;;;
;;-129;-73;73;-237;;;;;
;;-129;-80;73;-168;;;;;
;;-129;-82;98;-168;;;;;
;;-129;-85;98;-168;;;;;
;;-129;-87;98;-168;;;;;
;;-129;-90;98;-168;;;;;
;;-129;-95;98;-159;;;;;
;;-129;-97;98;-159;;;;;
;;-129;-100;86;-159;;;;;
;;-129;-102;86;-159;;;;;
;;-129;-107;86;-159;;;;;
;;-129;-110;86;-159;;;;;
;;-129;-112;86;-179;;;;;
;;-129;-115;36;-179;;;;;
;;-129;-118;36;-179;;;;;
;;-129;-123;36;-179;;;;;
;;-129;-125;36;-179;;;;;
;;-129;-129;0;-126;;;;;
;;-129;-130;0;-126;;;;;
;;-129;-130;0;-126;;;;;
;;-129;-130;0;-126;;;;;
;;-129;-130;0;-126;;;;;
;;-129;-130;0;-49;;;;;
;;-129;-130;0;-49;;;;;
;;-129;-130;0;-49;;;;;
;;-129;-130;0;-49;;;;;
;;-129;-130;0;-49;;;;;
;;-129;-130;0;-49;;;;;
;;-129;-130;0;-49;;;;;
;;-129;-130;0;0;;;;;
;;-129;-130;0;0;;;;;
;;-129;-130;0;0;;;;;
;;-129;-130;472;0;;;;;
;;-121;-130;472;0;;;;;
;;-118;-130;472;0;;;;;
;;-114;-130;472;0;;;;;
;;-111;-130;472;0;;;;;
;;-107;-130;798;0;;;;;
;;-100;-130;798;0;;;;;
;;-96;-130;798;0;;;;;
;;-92;-130;798;0;;;;;
;;-89;-130;798;0;;;;;
;;-88;-130;918;0;;;;;
;;-91;-130;918;0;;;;;
;;-95;-130;918;0;;;;;
;;-98;-130;918;0;;;;;
;;-106;-130;918;0;;;;;
;;-103;-130;1228;0;;;;;
;;-100;-130;1228;0;;;;;
;;-97;-130;1228;0;;;;;
;;-94;-130;1228;0;;;;;
;;-87;-130;1228;0;;;;;
;;-88;-130;1102;0;;;;;
;;-92;-130;1102;0;;;;;
;;-95;-130;1102;0;;;;;
;;-103;-130;1102;0;;;;;
;;-106;-130;1102;0;;;;;
;;-110;-130;1130;0;;;;;
;;-113;-130;1130;0;;;;;
;;-121;-130;1130;-43;;;;;
;;-124;-130;1130;-43;;;;;
;;-128;-130;1130;-43;;;;;
;;-123;-130;272;-43;;;;;
;;-119;-130;272;-133;;;;;
;;-114;-130;272;-133;;;;;
;;-110;-130;272;-133;;;;;
;;-105;-130;272;-133;;;;;
;;-101;-130;77;-133;;;;;
;;-101;-130;77;-105;;;;;
;;-101;-130;77;-105;;;;;
;;-101;-130;77;-105;;;;;
;;-101;-130;0;-105;;;;;
;;-101;-130;0;-105;;;;;
;;-101;-130;0;-67;;;;;
;;-101;-130;0;-67;;;;;
;;-101;-130;0;-67;;;;;
;;-101;-130;298;-67;;;;;
;;-98;-130;298;-67;;;;;
;;-91;-130;298;-51;;;;;
;;-87;-130;298;-51;;;;;
;;-83;-130;298;-51;;;;;
;;-80;-130;298;-51;;;;;
;;-76;-130;626;-51;;;;;
;;-69;-130;626;-42;;;;;
;;-65;-130;626;-42;;;;;
;;-58;-130;626;-42;;;;;
;;-54;-130;736;-42;;;;;
;;-51;-130;736;-42;;;;;
;;-47;-130;736;0;;;;;
;;-43;-130;736;0;;;;;
;;-40;-130;736;0;;;;;
;;-32;-130;727;0;;;;;
;;-29;-130;727;0;;;;;
;;-25;-130;727;-32;;;;;
;;-18;-130;727;-32;;;;;
;;-14;-130;727;-32;;;;;
;;-11;-130;690;-32;;;;;
;;-3;-130;690;-38;;;;;
;;0;-130;690;-38;;;;;
;;3;-130;690;-38;;;;;
;;7;-130;690;-38;;;;;
;;10;-130;640;-38;;;;;
;;18;-130;640;-54;;;;;
;;21;-130;640;-54;;;;;
;;25;-130;640;-54;;;;;
;;29;-130;640;-54;;;;;
;;36;-130;614;-54;;;;;
;;40;-130;614;-64;;;;;
;;43;-130;614;-64;;;;;
;;47;-130;614;-64;;;;;
;;54;-130;596;-64;;;;;
;;58;-130;596;-64;;;;;
;;61;-130;596;-64;;;;;
;;69;-130;596;-64;;;;;
;;72;-130;596;-64;;;;;
;;76;-130;596;-64;;;;;
;;80;-130;592;-64;;;;;
;;83;-130;592;-64;;;;;
;;91;-130;592;-64;;;;;
;;94;-130;592;-64;;;;;
;;98;-130;592;-64;;;;;
;;105;-130;553;-64;;;;;
;;109;-130;553;-67;;;;;
;;113;-130;553;-67;;;;;
;;116;-130;553;-67;;;;;
;;120;-130;553;-67;;;;;
;;123;-130;136;-67;;;;;
;;127;-130;136;-105;;;;;
;;131;-130;136;-105;;;;;
;;133;-130;136;-105;;;;;
;;134;-130;0;-105;;;;;
;;134;-130;0;-87;;;;;
;;134;-130;0;-87;;;;;
;;134;-130;0;-87;;;;;
;;134;-130;0;-87;;;;;
;;134;-130;0;-87;;;;;
;;134;-130;0;-87;;;;;
;;134;-130;0;-87;;;;;
;;134;-130;0;-87;;;;;
;;134;-130;0;-87;;;;;
;;134;-130;0;-87;;;;;
;;134;-130;0;-76;;;;;
;;134;-130;0;-76;;;;;
;;134;-130;0;-76;;;;;
